Date,Price,Open,High,Low,Vol.,Change %
"Jan 15, 2021",36845.8,"39,175.70","39,715.00","34,488.70",118.42K,-5.95%
"Jan 14, 2021",39175.7,"37,383.40","40,054.30","36,772.10",172.40K,4.80%
"Jan 13, 2021",37382.2,"34,061.20","37,764.60","32,451.90",209.93K,9.70%
"Jan 12, 2021",34076.1,"35,426.00","36,598.70","32,572.70",241.93K,-4.13%
"Jan 11, 2021",35544.3,"38,195.30","38,217.20","30,411.60",251.04K,-6.93%
"Jan 10, 2021",38192.2,"40,149.70","41,362.40","35,141.60",215.78K,-4.88%
"Jan 09, 2021",40151.9,"40,607.20","41,363.50","38,775.10",128.42K,-1.10%
"Jan 08, 2021",40599.3,"39,466.40","41,921.70","36,613.40",251.29K,2.89%
"Jan 07, 2021",39460.2,"36,798.50","40,340.90","36,361.20",249.60K,7.25%
"Jan 06, 2021",36793.2,"33,999.30","36,934.80","33,408.30",227.56K,8.24%
"Jan 05, 2021",33991.5,"32,015.40","34,414.70","30,010.50",202.13K,6.15%
"Jan 04, 2021",32022.6,"33,016.60","33,587.50","28,204.50",255.27K,-2.84%
"Jan 03, 2021",32958.9,"32,192.90","34,755.90","32,029.60",155.21K,2.38%
"Jan 02, 2021",32193.3,"29,359.70","33,233.50","29,008.00",240.87K,9.65%
"Jan 01, 2021",29359.9,"28,951.70","29,627.10","28,712.40",100.90K,1.42%
"Dec 31, 2020",28949.4,"28,866.80","29,298.80","28,025.00",136.69K,0.28%
"Dec 30, 2020",28868.7,"27,374.50","28,979.30","27,374.50",159.82K,5.45%
"Dec 29, 2020",27376,"27,065.30","27,390.70","25,902.80",119.57K,1.18%
"Dec 28, 2020",27057.8,"26,259.20","27,444.90","26,144.30",126.98K,3.03%
"Dec 27, 2020",26261.3,"26,460.30","28,360.30","25,858.20",231.23K,-0.73%
"Dec 26, 2020",26454.4,"24,714.70","26,826.00","24,515.10",155.77K,7.15%
"Dec 25, 2020",24689.6,"23,728.70","24,778.90","23,445.30",2.40K,4.02%
"Dec 24, 2020",23736.5,"23,253.20","23,783.70","22,737.30",104.59K,2.06%
"Dec 23, 2020",23257.9,"23,820.80","24,063.70","22,694.70",178.47K,-2.37%
"Dec 22, 2020",23823.2,"22,730.40","23,825.40","22,388.60",130.75K,4.82%
"Dec 21, 2020",22728.5,"23,474.10","24,101.90","22,015.50",154.69K,-3.18%
"Dec 20, 2020",23474.9,"23,843.60","24,280.90","23,098.90",114.09K,-1.55%
"Dec 19, 2020",23844,"23,127.60","24,107.10","22,797.00",133.88K,3.10%
